opportunity_id,sales_agent,product,model_1,model_2,model_3,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price
1C1I7A6R,Moses Frase,GTX Plus Basic,GTX,Plus,Basic,Cancity,Won,2016-10-20,2017-03-01,1054,Dustin Brinkmann,Central,GTX,1096
Z063OYW0,Darcel Schlecht,GTX Pro,GTX,Pro,NA,Isdom,Won,2016-10-25,2017-03-11,4514,Melvin Marxen,Central,GTX,4821
EC4QE1BX,Darcel Schlecht,MG Special,MG,Special,NA,Cancity,Won,2016-10-25,2017-03-07,50,Melvin Marxen,Central,MG,55
MV1LWRNH,Moses Frase,GTX Basic,GTX,Basic,NA,Codehow,Won,2016-10-25,2017-03-09,588,Dustin Brinkmann,Central,GTX,550
PE84CX4O,Zane Levy,GTX Basic,GTX,Basic,NA,Hatfan,Won,2016-10-25,2017-03-02,517,Summer Sewald,West,GTX,550
ZNBS69V1,Anna Snelling,MG Special,MG,Special,NA,Ron-tech,Won,2016-10-29,2017-03-01,49,Dustin Brinkmann,Central,MG,55
9ME3374G,Vicki Laflamme,MG Special,MG,Special,NA,J-Texon,Won,2016-10-30,2017-03-02,57,Celia Rouche,West,MG,55
7GN8Q4LL,Markita Hansen,GTX Basic,GTX,Basic,NA,Cheers,Won,2016-11-01,2017-03-07,601,Celia Rouche,West,GTX,550
OLK9LKZB,Niesha Huffines,GTX Plus Basic,GTX,Plus,Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026,Melvin Marxen,Central,GTX,1096
NL3JZH1Z,Anna Snelling,MG Special,MG,Special,NA,Bioholding,Won,2016-11-04,2017-03-10,53,Dustin Brinkmann,Central,MG,55
KWVA7VR1,Gladys Colclough,GTX Pro,GTX,Pro,NA,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0,Melvin Marxen,Central,GTX,4821
S8DX3XOU,James Ascencio,GTX Plus Pro,GTX,Plus,Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169,Summer Sewald,West,GTX,5482
ENB2XD8G,Maureen Marcano,GTX Plus Pro,GTX,Plus,Pro,Sonron,Won,2016-11-04,2017-03-06,4631,Summer Sewald,West,GTX,5482
09YE9QOV,Hayden Neloms,MG Advanced,MG,Advanced,NA,Finjob,Won,2016-11-05,2017-03-11,3393,Celia Rouche,West,MG,3393
3F5MZNEH,Rosalina Dieter,MG Special,MG,Special,NA,Sonron,Lost,2016-11-05,2017-03-03,0,Celia Rouche,West,MG,55
M6WEJXC0,Rosalina Dieter,MG Advanced,MG,Advanced,NA,Scotfind,Won,2016-11-05,2017-03-06,3284,Celia Rouche,West,MG,3393
6PTR7VBR,Versie Hillebrand,MG Special,MG,Special,NA,Treequote,Won,2016-11-06,2017-03-05,61,Dustin Brinkmann,Central,MG,55
902REDPA,Daniell Hammack,GTX Pro,GTX,Pro,NA,Xx-zobam,Lost,2016-11-07,2017-03-09,0,Rocco Neubert,East,GTX,4821
5J9CMGDV,Elease Gluck,MG Special,MG,Special,NA,Rantouch,Won,2016-11-07,2017-03-08,46,Celia Rouche,West,MG,55
